,compartment,outflow_to,offense,age,compartment_duration,rate_by_age,rate_by_offense,total_population,time_step
785,release,prison,Violent personal,76,2.0,0.04,0.08,0.06,
786,release,prison,Violent personal,76,3.0,0.04,0.07,0.055,
787,release,release_permanently,Violent personal,76,3.0,,,0.79,
788,release,prison,Weapons,76,1.0,0.08,0.08,0.08,
789,release,prison,Weapons,76,2.0,0.04,0.11,0.075,
790,release,prison,Weapons,76,3.0,0.04,0.09,0.065,
791,release,release_permanently,Weapons,76,3.0,,,0.78,
792,release,prison,Burglary,77,1.0,0.08,0.1,0.09,
793,release,prison,Burglary,77,2.0,0.04,0.11,0.075,
794,release,prison,Burglary,77,3.0,0.04,0.08,0.06,
795,release,release_permanently,Burglary,77,3.0,,,0.775,
796,release,prison,Drug offenses,77,1.0,0.08,0.05,0.065,
797,release,prison,Drug offenses,77,2.0,0.04,0.07,0.055,
798,release,prison,Drug offenses,77,3.0,0.04,0.07,0.055,
799,release,release_permanently,Drug offenses,77,3.0,,,0.825,
800,release,prison,murder/manslaughter,77,1.0,0.08,0.07,0.075,
801,release,prison,murder/manslaughter,77,2.0,0.04,0.06,0.05,
802,release,prison,murder/manslaughter,77,3.0,0.04,0.05,0.045,
803,release,release_permanently,murder/manslaughter,77,3.0,,,0.83,
804,release,prison,Other,77,1.0,0.08,0.08,0.08,
805,release,prison,Other,77,2.0,0.04,0.11,0.075,
806,release,prison,Other,77,3.0,0.04,0.09,0.065,
807,release,release_permanently,Other,77,3.0,,,0.78,
808,release,prison,Robbery,77,1.0,0.08,0.1,0.09,
809,release,prison,Robbery,77,2.0,0.04,0.1,0.07,
810,release,prison,Robbery,77,3.0,0.04,0.08,0.06,
811,release,release_permanently,Robbery,77,3.0,,,0.78,
812,release,prison,Sexual offenses,77,1.0,0.08,0.13,0.105,
813,release,prison,Sexual offenses,77,2.0,0.04,0.09,0.065,
814,release,prison,Sexual offenses,77,3.0,0.04,0.06,0.05,
815,release,release_permanently,Sexual offenses,77,3.0,,,0.78,
816,release,prison,Theft/forgery/fraud,77,1.0,0.08,0.08,0.08,
817,release,prison,Theft/forgery/fraud,77,2.0,0.04,0.11,0.075,
818,release,prison,Theft/forgery/fraud,77,3.0,0.04,0.08,0.06,
819,release,release_permanently,Theft/forgery/fraud,77,3.0,,,0.785,
820,release,prison,Violent personal,77,1.0,0.08,0.11,0.095,
821,release,prison,Violent personal,77,2.0,0.04,0.08,0.06,
822,release,prison,Violent personal,77,3.0,0.04,0.07,0.055,
823,release,release_permanently,Violent personal,77,3.0,,,0.79,
824,release,prison,Weapons,77,1.0,0.08,0.08,0.08,
825,release,prison,Weapons,77,2.0,0.04,0.11,0.075,
826,release,prison,Weapons,77,3.0,0.04,0.09,0.065,
827,release,release_permanently,Weapons,77,3.0,,,0.78,
828,release,prison,Burglary,78,1.0,0.08,0.1,0.09,
829,release,prison,Burglary,78,2.0,0.04,0.11,0.075,
830,release,prison,Burglary,78,3.0,0.04,0.08,0.06,
831,release,release_permanently,Burglary,78,3.0,,,0.775,
832,release,prison,Drug offenses,78,1.0,0.08,0.05,0.065,
833,release,prison,Drug offenses,78,2.0,0.04,0.07,0.055,
834,release,prison,Drug offenses,78,3.0,0.04,0.07,0.055,
835,release,release_permanently,Drug offenses,78,3.0,,,0.825,
836,release,prison,murder/manslaughter,78,1.0,0.08,0.07,0.075,
837,release,prison,murder/manslaughter,78,2.0,0.04,0.06,0.05,
838,release,prison,murder/manslaughter,78,3.0,0.04,0.05,0.045,
839,release,release_permanently,murder/manslaughter,78,3.0,,,0.83,
840,release,prison,Other,78,1.0,0.08,0.08,0.08,
841,release,prison,Other,78,2.0,0.04,0.11,0.075,
842,release,prison,Other,78,3.0,0.04,0.09,0.065,
843,release,release_permanently,Other,78,3.0,,,0.78,
844,release,prison,Robbery,78,1.0,0.08,0.1,0.09,
845,release,prison,Robbery,78,2.0,0.04,0.1,0.07,
846,release,prison,Robbery,78,3.0,0.04,0.08,0.06,
847,release,release_permanently,Robbery,78,3.0,,,0.78,
848,release,prison,Sexual offenses,78,1.0,0.08,0.13,0.105,
849,release,prison,Sexual offenses,78,2.0,0.04,0.09,0.065,
850,release,prison,Sexual offenses,78,3.0,0.04,0.06,0.05,
851,release,release_permanently,Sexual offenses,78,3.0,,,0.78,
852,release,prison,Theft/forgery/fraud,78,1.0,0.08,0.08,0.08,
853,release,prison,Theft/forgery/fraud,78,2.0,0.04,0.11,0.075,
854,release,prison,Theft/forgery/fraud,78,3.0,0.04,0.08,0.06,
855,release,release_permanently,Theft/forgery/fraud,78,3.0,,,0.785,
856,release,prison,Violent personal,78,1.0,0.08,0.11,0.095,
857,release,prison,Violent personal,78,2.0,0.04,0.08,0.06,
858,release,prison,Violent personal,78,3.0,0.04,0.07,0.055,
859,release,release_permanently,Violent personal,78,3.0,,,0.79,
860,release,prison,Weapons,78,1.0,0.08,0.08,0.08,
861,release,prison,Weapons,78,2.0,0.04,0.11,0.075,
862,release,prison,Weapons,78,3.0,0.04,0.09,0.065,
863,release,release_permanently,Weapons,78,3.0,,,0.78,
864,release,prison,Burglary,79,1.0,0.08,0.1,0.09,
865,release,prison,Burglary,79,2.0,0.04,0.11,0.075,
866,release,prison,Burglary,79,3.0,0.04,0.08,0.06,
867,release,release_permanently,Burglary,79,3.0,,,0.775,
868,release,prison,Drug offenses,79,1.0,0.08,0.05,0.065,
869,release,prison,Drug offenses,79,2.0,0.04,0.07,0.055,
870,release,prison,Drug offenses,79,3.0,0.04,0.07,0.055,
871,release,release_permanently,Drug offenses,79,3.0,,,0.825,
872,release,prison,murder/manslaughter,79,1.0,0.08,0.07,0.075,
873,release,prison,murder/manslaughter,79,2.0,0.04,0.06,0.05,
874,release,prison,murder/manslaughter,79,3.0,0.04,0.05,0.045,
875,release,release_permanently,murder/manslaughter,79,3.0,,,0.83,
876,release,prison,Other,79,1.0,0.08,0.08,0.08,
877,release,prison,Other,79,2.0,0.04,0.11,0.075,
878,release,prison,Other,79,3.0,0.04,0.09,0.065,
879,release,release_permanently,Other,79,3.0,,,0.78,
880,release,prison,Robbery,79,1.0,0.08,0.1,0.09,
881,release,prison,Robbery,79,2.0,0.04,0.1,0.07,
882,release,prison,Robbery,79,3.0,0.04,0.08,0.06,
883,release,release_permanently,Robbery,79,3.0,,,0.78,
884,release,prison,Sexual offenses,79,1.0,0.08,0.13,0.105,
885,release,prison,Sexual offenses,79,2.0,0.04,0.09,0.065,
886,release,prison,Sexual offenses,79,3.0,0.04,0.06,0.05,
887,release,release_permanently,Sexual offenses,79,3.0,,,0.78,
888,release,prison,Theft/forgery/fraud,79,1.0,0.08,0.08,0.08,
889,release,prison,Theft/forgery/fraud,79,2.0,0.04,0.11,0.075,
890,release,prison,Theft/forgery/fraud,79,3.0,0.04,0.08,0.06,
891,release,release_permanently,Theft/forgery/fraud,79,3.0,,,0.785,
892,release,prison,Violent personal,79,1.0,0.08,0.11,0.095,
893,release,prison,Violent personal,79,2.0,0.04,0.08,0.06,
894,release,prison,Violent personal,79,3.0,0.04,0.07,0.055,
895,release,release_permanently,Violent personal,79,3.0,,,0.79,
896,release,prison,Weapons,79,1.0,0.08,0.08,0.08,
897,release,prison,Weapons,79,2.0,0.04,0.11,0.075,
898,release,prison,Weapons,79,3.0,0.04,0.09,0.065,
899,release,release_permanently,Weapons,79,3.0,,,0.78,
900,release,prison,Burglary,80,1.0,0.08,0.1,0.09,
901,release,prison,Burglary,80,2.0,0.04,0.11,0.075,
902,release,prison,Burglary,80,3.0,0.04,0.08,0.06,
903,release,release_permanently,Burglary,80,3.0,,,0.775,
904,release,prison,Drug offenses,80,1.0,0.08,0.05,0.065,
905,release,prison,Drug offenses,80,2.0,0.04,0.07,0.055,
906,release,prison,Drug offenses,80,3.0,0.04,0.07,0.055,
907,release,release_permanently,Drug offenses,80,3.0,,,0.825,
908,release,prison,murder/manslaughter,80,1.0,0.08,0.07,0.075,
909,release,prison,murder/manslaughter,80,2.0,0.04,0.06,0.05,
910,release,prison,murder/manslaughter,80,3.0,0.04,0.05,0.045,
911,release,release_permanently,murder/manslaughter,80,3.0,,,0.83,
912,release,prison,Other,80,1.0,0.08,0.08,0.08,
913,release,prison,Other,80,2.0,0.04,0.11,0.075,
914,release,prison,Other,80,3.0,0.04,0.09,0.065,
915,release,release_permanently,Other,80,3.0,,,0.78,
916,release,prison,Robbery,80,1.0,0.08,0.1,0.09,
917,release,prison,Robbery,80,2.0,0.04,0.1,0.07,
918,release,prison,Robbery,80,3.0,0.04,0.08,0.06,
919,release,release_permanently,Robbery,80,3.0,,,0.78,
920,release,prison,Sexual offenses,80,1.0,0.08,0.13,0.105,
921,release,prison,Sexual offenses,80,2.0,0.04,0.09,0.065,
922,release,prison,Sexual offenses,80,3.0,0.04,0.06,0.05,
923,release,release_permanently,Sexual offenses,80,3.0,,,0.78,
924,release,prison,Theft/forgery/fraud,80,1.0,0.08,0.08,0.08,
925,release,prison,Theft/forgery/fraud,80,2.0,0.04,0.11,0.075,
926,release,prison,Theft/forgery/fraud,80,3.0,0.04,0.08,0.06,
927,release,release_permanently,Theft/forgery/fraud,80,3.0,,,0.785,
928,release,prison,Violent personal,80,1.0,0.08,0.11,0.095,
929,release,prison,Violent personal,80,2.0,0.04,0.08,0.06,
930,release,prison,Violent personal,80,3.0,0.04,0.07,0.055,
931,release,release_permanently,Violent personal,80,3.0,,,0.79,
932,release,prison,Weapons,80,1.0,0.08,0.08,0.08,
933,release,prison,Weapons,80,2.0,0.04,0.11,0.075,
934,release,prison,Weapons,80,3.0,0.04,0.09,0.065,
935,release,release_permanently,Weapons,80,3.0,,,0.78,
936,release,prison,Burglary,81,1.0,0.08,0.1,0.09,
937,release,prison,Burglary,81,2.0,0.04,0.11,0.075,
938,release,prison,Burglary,81,3.0,0.04,0.08,0.06,
939,release,release_permanently,Burglary,81,3.0,,,0.775,
940,release,prison,Drug offenses,81,1.0,0.08,0.05,0.065,
941,release,prison,Drug offenses,81,2.0,0.04,0.07,0.055,
942,release,prison,Drug offenses,81,3.0,0.04,0.07,0.055,
943,release,release_permanently,Drug offenses,81,3.0,,,0.825,
944,release,prison,murder/manslaughter,81,1.0,0.08,0.07,0.075,
945,release,prison,murder/manslaughter,81,2.0,0.04,0.06,0.05,
946,release,prison,murder/manslaughter,81,3.0,0.04,0.05,0.045,
947,release,release_permanently,murder/manslaughter,81,3.0,,,0.83,
948,release,prison,Other,81,1.0,0.08,0.08,0.08,
949,release,prison,Other,81,2.0,0.04,0.11,0.075,
950,release,prison,Other,81,3.0,0.04,0.09,0.065,
951,release,release_permanently,Other,81,3.0,,,0.78,
952,release,prison,Robbery,81,1.0,0.08,0.1,0.09,
953,release,prison,Robbery,81,2.0,0.04,0.1,0.07,
954,release,prison,Robbery,81,3.0,0.04,0.08,0.06,
955,release,release_permanently,Robbery,81,3.0,,,0.78,
956,release,prison,Sexual offenses,81,1.0,0.08,0.13,0.105,
957,release,prison,Sexual offenses,81,2.0,0.04,0.09,0.065,
958,release,prison,Sexual offenses,81,3.0,0.04,0.06,0.05,
