,compartment,year,policy_total_population,control_total_population
193,probation,2025.083333277,27533.665459655596,26449.22236653939
194,probation,2025.16666661,27545.80600574399,26486.04683960368
195,probation,2025.249999943,27555.497945865773,26527.315228386447
196,probation,2025.333333276,27570.654344548366,26568.37677016935
197,probation,2025.416666609,27613.464345521505,26609.22925444444
198,probation,2025.499999942,27580.19524424835,26620.992283300377
199,probation,2025.583333275,27483.831627092884,26632.56431588785
200,probation,2025.666666608,27388.187722799554,26643.943962787453
201,probation,2025.749999941,27447.934560519796,26668.350194512142
202,probation,2025.833333274,27510.92091945719,26692.515273147765
203,probation,2025.916666607,27573.264407498194,26716.439371786524
204,probation,2025.99999994,27597.26580575333,26746.445537087646
205,probation,2026.083333273,27605.193913813193,26776.15357430427
206,probation,2026.166666606,27584.26637268395,26805.563144384483
207,probation,2026.249999939,27574.002014197977,26841.620668531334
208,probation,2026.333333272,27594.806324394383,26877.374674412666
209,probation,2026.416666605,27640.696239487246,26912.824966396303
210,probation,2026.499999938,27643.877052699743,26915.60760588484
211,probation,2026.583333271,27612.640612430732,26918.126107292253
212,probation,2026.666666604,27581.75995296782,26920.38230248353
213,probation,2026.749999937,27617.16959356176,26930.923498520984
214,probation,2026.83333327,27653.70801107245,26941.220679542825
215,probation,2026.916666603,27687.355304909528,26951.274547263434
216,release,2017.999999972,2369434.268577276,2369434.268577276
217,release,2018.083333305,2370335.7973096287,2370335.7973096287
218,release,2018.166666638,2371236.778289149,2371236.778289149
219,release,2018.249999971,2372137.2313500913,2372137.2313500913
220,release,2018.333333304,2373037.1353226835,2373037.1353226835
221,release,2018.416666637,2373936.4894960052,2373936.4894960052
222,release,2018.49999997,2374837.573754146,2374837.573754146
223,release,2018.583333303,2375738.1782909683,2375738.1782909683
224,release,2018.666666636,2376638.302642268,2376638.302642268
225,release,2018.749999969,2377509.7367601963,2377509.7367601963
226,release,2018.833333302,2378380.698576779,2378380.698576779
227,release,2018.916666635,2379251.188360946,2379251.188360946
228,release,2018.999999968,2380121.2173057944,2380121.2173057944
229,release,2019.083333301,2380990.7752793715,2380990.7752793715
230,release,2019.166666634,2381859.8627250683,2381859.8627250683
231,release,2019.249999967,2382728.500092554,2382728.500092554
232,release,2019.3333333,2383596.6700292495,2383596.6700292495
233,release,2019.416666633,2384464.372820851,2384464.372820851
234,release,2019.499999966,2385331.830083676,2385331.830083676
235,release,2019.583333299,2386198.8838431747,2386198.8838431747
236,release,2019.666666632,2387065.5343533205,2387065.5343533205
