,compartment,outflow_to,tis_percentage,compartment_duration,total_population,time_step
23,prison,,85%,,2211.0,35.0
24,prison,,100%,,3537.0,24.0
25,prison,,100%,,3537.0,25.0
26,prison,,100%,,3537.0,26.0
27,prison,,100%,,3537.0,27.0
28,prison,,100%,,3537.0,28.0
29,prison,,100%,,3537.0,29.0
30,prison,,100%,,3537.0,30.0
31,prison,,100%,,3537.0,31.0
32,prison,,100%,,3537.0,32.0
33,prison,,100%,,3537.0,33.0
34,prison,,100%,,3537.0,34.0
35,prison,,100%,,3537.0,35.0
0,prison,,50%,,2364.0,36.0
1,prison,,50%,,2364.0,37.0
2,prison,,50%,,2364.0,38.0
3,prison,,50%,,2364.0,39.0
4,prison,,50%,,2364.0,40.0
5,prison,,50%,,2364.0,41.0
6,prison,,50%,,2364.0,42.0
7,prison,,50%,,2364.0,43.0
8,prison,,50%,,2364.0,44.0
9,prison,,50%,,2364.0,45.0
10,prison,,50%,,2364.0,46.0
11,prison,,50%,,2364.0,47.0
12,prison,,85%,,1348.0,36.0
13,prison,,85%,,1348.0,37.0
14,prison,,85%,,1348.0,38.0
15,prison,,85%,,1348.0,39.0
16,prison,,85%,,1348.0,40.0
17,prison,,85%,,1348.0,41.0
18,prison,,85%,,1348.0,42.0
19,prison,,85%,,1348.0,43.0
20,prison,,85%,,1348.0,44.0
